domain,mailserver_registered_domain,email_provider
coca-colacompany.com,ko.com,-
searsholdings.com,searsholdings.com,-
apple.com,apple.com,-
amazon.com,amazon.com,-
unitedhealthgroup.com,corpmailsvcs.com,-
gm.com,gm.com,-
lockheedmartin.com,lmco.com,-
prudential.com,prudential.com,-
pepsico.com,pepsico.com,-
target.com,target.com,-
merck.com,merck.com,-
aig.com,aig.com,-
hcahealthcare.com,medcity.net,-
express-scripts.com,express-scripts.com,-
allstate.com,allstate.com,-
aetna.com,aetna.com,-
morganstanley.com,morganstanley.com,-
fedex.com,fedex.com,-
libertymutual.com,lmig.com,-
newyorklife.com,newyorklife.com,-
boeing.com,boeing.net,-
oracle.com,oracle.com,-
tiaa-cref.org,tiaa-cref.org,-
exxonmobil.com,exxonmobil.com,-
freddiemac.com,freddiemac.com,-
intel.com,intel.com,-
chevron.com,chevron.com,-
statefarm.com,statefarm.com,-
walgreensbootsalliance.com,cscdns.net,CSC Digital Brand Services
mondelezinternational.com,cscdns.net,CSC Digital Brand Services
fanniemae.com,iphmx.com,Cisco Ironport
cardinal.com,iphmx.com,Cisco Ironport
metlife.com,metlife.com,Cisco Ironport
3m.com,iphmx.com,Cisco Ironport
metlife.com,iphmx.com,Cisco Ironport
energytransfer.com,iphmx.com,Cisco Ironport
nationwide.com,iphmx.com,Cisco Ironport
cisco.com,cisco.com,Cisco Ironport
jnj.com,iphmx.com,Cisco Ironport
lowes.com,fireeyecloud.com,FireEye
google.com,google.com,Google
wfscorp.com,outlook.com,Microsoft
microsoft.com,outlook.com,Microsoft
dow.com,outlook.com,Microsoft
conocophillips.com,outlook.com,Microsoft
honeywell.com,outlook.com,Microsoft
adm.com,outlook.com,Microsoft
disney.com,outlook.com,Microsoft
berkshirehathaway.com,outlook.com,Microsoft
johnsoncontrols.com,outlook.com,Microsoft
aa.com,outlook.com,Microsoft
hp.com,mimecast.com,Mimecast
americanexpress.com,pphosted.com,Proofpoint
ibm.com,pphosted.com,Proofpoint
intlfcstone.com,pphosted.com,Proofpoint
pg.com,pphosted.com,Proofpoint
ups.com,pphosted.com,Proofpoint
bankofamerica.com,pphosted.com,Proofpoint
chsinc.com,pphosted.com,Proofpoint
sysco.com,pphosted.com,Proofpoint
utc.com,pphosted.com,Proofpoint
ingrammicro.com,pphosted.com,Proofpoint
generaldynamics.com,pphosted.com,Proofpoint
walmart.com,pphosted.com,Proofpoint
ge.com,pphosted.com,Proofpoint
homedepot.com,pphosted.com,Proofpoint
directv.com,pphosted.com,Proofpoint
mckesson.com,pphosted.com,Proofpoint
verizon.com,pphosted.com,Proofpoint
amerisourcebergen.com,pphosted.com,Proofpoint
halliburton.com,pphosted.com,Proofpoint
tsocorp.com,pphosted.com,Proofpoint
massmutual.com,pphosted.com,Proofpoint
pfizer.com,pphosted.com,Proofpoint
cigna.com,pphosted.com,Proofpoint
gs.com,pphosted.com,Proofpoint
costco.com,pphosted.com,Proofpoint
cvshealth.com,pphosted.com,Proofpoint
21cf.com,pphosted.com,Proofpoint
allstate.com,pphosted.com,Proofpoint
citigroup.com,citi.com,Proofpoint
marathonpetroleum.com,pphosted.com,Proofpoint
att.com,pphosted.com,Proofpoint
dupont.com,pphosted.com,Proofpoint
johndeere.com,pphosted.com,Proofpoint
delta.com,pphosted.com,Proofpoint
bestbuy.com,pphosted.com,Proofpoint
valero.com,messagelabs.com,Symantec
wellsfargo.com,messagelabs.com,Symantec
humana.com,messagelabs.com,Symantec
safeway.com,messagelabs.com,Symantec
ford.com,messagelabs.com,Symantec
